How	How	c-crq	How	how	0
,	,	,	,	,	0
saying	saying	vvg	saying	say	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
goe	goe	vvi	go	go	0
home	home	av-an	home	home	0
and	and	cc	and	and	0
consult	consult	vvb	consult	consult	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
what	what	r-crq	what	what	0
were	were	vbdr	were	be	0
best	best	js	best	best	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
done	done	vdn	done	do	0
.	.	.	.	.	1
And	And	cc	And	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
morrow	morrow	n1	morrow	morrow	0
after	after	c-acp	after	after	0
he	he	pns31	he	he	0
told	told	vvd	told	tell	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
durst	durst	vvd	durst	dare	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
case	case	n1	case	case	0
receive	receive	vvi	receive	receive	0
baptisme	baptisme	n1	baptism	baptism	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
then	then	cs	then	than	0
he	he	pns31	he	he	0
should	should	vmd	should	shall	0
drinke	drinke	vvi	drink	drink	0
no	no	av-dx	no	no	0
more	more	av-dc	more	more	0
Cosmos	Cosmos	np1	Cosmos	Cosmos	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Christians	Christians	np1	Christians	Christians	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
place	place	n1	place	place	0
affirme	affirme	vvi	affirm	affirm	0
that	that	cst	that	that	0
no	no	dx	no	no	0
true	true	j	true	true	0
Christians	Christians	np1	Christians	Christians	0
ought	ought	vmd	ought	ought	0
to	to	p-acp	to	to	0
drinke	drinke	vvi	drink	drink	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
liquor	liquor	n1	liquour	liquor	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
live	live	vvi	live	live	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
desert	desert	n1	desert	desert	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
which	which	r-crq	which	which	0
opinion	opinion	n1	opinion	opinion	0
,	,	,	,	,	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
life	life	n1	life	life	0
remove	remove	vvi	remove	remove	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Wherefore	Wherefore	q-crq	Wherefore	wherefore	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
knowen	knowen	vvn	known	know	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
certainty	certainty	n1	certainty	certainty	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
much	much	av-d	much	much	0
estranged	estranged	vvn	estranged	estrange	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
faith	faith	n1	faith	faith	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
opinion	opinion	n1	opinion	opinion	0
which	which	r-crq	which	which	0
hath	hath	vhz	hath	have	0
bin	bin	vbn	been	be	0
broached	broached	vvn	broached	broach	0
&	&	cc	&	and	0
confirmed	confirmed	vvn	confirmed	confirm	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Russians	Russians	njp2	Russians	russian	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whom	whom	ro-crq	whom	who	0
there	there	a-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
multitude	multitude	n1	multitude	multitude	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
place	place	n1	place	place	0
.	.	.	.	.	1
The	The	dt	The	the	0
same	same	d	same	same	0
day	day	n1	day	day	0
Scacatay	Scacatay	vvi	Scacatay	scacatay	0
the	the	dt	the	the	0
captaine	captaine	n1	captain	captain	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
gave	gave	vvd	gave	give	0
us	us	pno12	us	we	0
one	one	crd	one	one	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
conduct	conduct	vvi	conduct	conduct	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
Sartach	Sartach	vvi	Sartach	sartach	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
other	other	j-jn	other	other	0
to	to	pc-acp	to	to	0
guide	guide	vvi	guide	guide	0
us	us	pno12	us	we	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
next	next	ord	next	next	0
lodging	lodging	n1	lodging	lodging	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
that	that	cst	that	that	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
254	254	crd	254	254	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
place	place	n1	place	place	0
five	five	crd	five	five	0
dayes	dayes	ng2	days	day	0
journey	journey	n1	journey	journey	0
for	for	p-acp	for	for	0
oxen	oxen	n2	oxen	ox	0
to	to	pc-acp	to	to	0
travell	travell	vvi	travel	travel	0
.	.	.	.	.	1
They	They	pns32	They	they	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
also	also	av	also	also	0
a	a	dt	a	a	0
goate	goate	n1	goat	goat	0
for	for	p-acp	for	for	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
great	great	j	great	great	0
many	many	d	many	many	0
bladders	bladders	n2	bladders	bladder	0
of	of	pp-f	of	of	0
cowes	cowes	ng1	cows	cow	0
milke	milke	n1	milk	milk	0
,	,	,	,	,	0
8c	8c	av	8c	8c	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
little	little	j	little	little	0
Cosmos	Cosmos	np1	Cosmos	Cosmos	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
estimation	estimation	n1	estimation	estimation	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
taking	taking	vvg	taking	take	0
our	our	po12	our	our	0
journey	journey	n1	journey	journey	0
directly	directly	av-j	directly	direct	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
me	me	pno11	me	i	0
thought	thought	vvd	thought	think	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
had	had	vhd	had	have	0
passed	passed	vvn	passed	pass	0
through	through	p-acp	through	through	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
hell	hell	n1	hell	hell	0
gates	gates	n2	gates	gate	0
.	.	.	.	.	1
The	The	dt	The	the	0
servants	servants	n2	servants	servant	0
which	which	r-crq	which	which	0
conducted	conducted	vvd	conducted	conduct	0
us	us	pno12	us	we	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
play	play	vvi	play	play	0
the	the	dt	the	the	0
bold	bold	j	bold	bold	0
theeves	theeves	n2	thieves	thief	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
us	us	pno12	us	we	0
take	take	vvi	take	take	0
so	so	av	so	so	0
little	little	j	little	little	0
heed	heed	n1	heed	heed	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
length	length	n1	length	length	0
having	having	vhg	having	have	0
lost	lost	vvn	lost	lose	0
much	much	d	much	much	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
theevery	theevery	n1	thievery	thievery	0
,	,	,	,	,	0
harme	harme	n1	harm	harm	0
taught	taught	vvd	taught	teach	0
us	us	pno12	us	we	0
wisdome	wisdome	n1	wisdom	wisdom	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
extremity	extremity	n1	extremity	extremity	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
province	province	n1	province	province	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
fortified	fortified	vvn	fortified	fortify	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
ditch	ditch	n1	ditch	ditch	0
from	from	p-acp	from	from	0
one	one	crd	one	one	0
sea	sea	n1	sea	sea	0
unto	unto	p-acp	unto	unto	0
another	another	j-jn	another	another	0
:	:	:	:	:	0
without	without	p-acp	without	without	0
the	the	dt	the	the	0
bounds	bounds	n2	bounds	bound	0
wherof	wherof	c-crq	whereof	whereof	0
their	their	po32	their	their	0
lodging	lodging	n1	lodging	lodging	0
was	was	vbds	was	be	0
situate	situate	j	situate	situate	0
.	.	.	.	.	1
Into	Into	p-acp	Into	into	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
,	,	,	,	,	0
so	so	av	so	so	0
soone	soone	av	soon	soon	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
entred	entred	vvn	entered	enter	0
,	,	,	,	,	0
al	al	d	all	all	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
there	there	a-acp	there	there	0
seemed	seemed	vvd	seemed	seem	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
infected	infected	vvn	infected	infect	0
with	with	p-acp	with	with	0
leprosie	leprosie	n1	leprosy	leprosy	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
certain	certain	j	certain	certain	0
base	base	j	base	base	0
fellowes	fellowes	n2	fellows	fellow	0
were	were	vbdr	were	be	0
placed	placed	vvn	placed	place	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
tribute	tribute	n1	tribute	tribute	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
tooke	tooke	vvd	took	take	0
salt	salt	n1	salt	salt	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
salt	salt	n1	salt	salt	0
Salt	Salt	n1	Salt	salt	0
pits	pits	n2	pits	pit	0
.	.	.	.	.	0
pits	pits	n2	pits	pit	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
that	that	d	that	that	0
place	place	n1	place	place	0
they	they	pns32	they	they	0
told	told	vvd	told	tell	0
us	us	pno12	us	we	0
that	that	d	that	that	0
we	we	pns12	we	we	0
must	must	vmb	must	must	0
travel	travel	vvi	travel	travel	0
fifteen	fifteen	crd	fifteen	fifteen	0
daies	daies	ng2	days	day	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
we	we	pns12	we	we	0
shuld	shuld	vmd	should	shall	0
find	find	vvi	find	find	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
people	people	n1	people	people	0
.	.	.	.	.	1
With	With	p-acp	With	with	0
them	them	pno32	them	they	0
wee	wee	pns12	we	we	0
dranke	dranke	vvd	drank	drink	0
Cosmos	Cosmos	np1	Cosmos	Cosmos	0
,	,	,	,	,	0
and	and	cc	and	and	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
basket	basket	n1	basket	basket	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
fruites	fruites	n2	fruits	fruit	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
bisket	bisket	n1	biscuit	biscuit	0
.	.	.	.	.	1
And	And	cc	And	and	0
they	they	pns32	they	they	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
eight	eight	crd	eight	eight	0
oxen	oxen	n2	oxen	ox	0
and	and	cc	and	and	0
one	one	crd	one	one	0
goate	goate	n1	goat	goat	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
sustaine	sustaine	vvi	sustain	sustain	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
knowe	knowe	vvb	know	know	0
not	not	xx	not	not	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
bladders	bladders	n2	bladders	bladder	0
of	of	pp-f	of	of	0
milke	milke	n1	milk	milk	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
changing	changing	vvg	changing	change	0
our	our	po12	our	our	0
oxen	oxen	n2	oxen	ox	0
,	,	,	,	,	0
?	?	?	?	?	0
en	en	fw-fr	en	en	0
we	we	pns12	we	we	0
tooke	tooke	vvd	took	take	0
our	our	po12	our	our	0
journey	journey	n1	journey	journey	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
finished	finished	vvd	finished	finish	0
in	in	p-acp	in	in	0
tenne	tenne	crd	tenne	ten	0
J°urneD-dayes	J°urneD-dayes	n2	J°urneD-dayes	j°urned-dayes	0
,	,	,	,	,	0
arriving	arriving	vvg	arriving	arrive	0
at	at	p-acp	at	at	0
another	another	j-jn	another	another	0
lodging	lodging	n1	lodging	lodging	0
:	:	:	:	:	0
neither	neither	dx	neither	neither	0
found	found	n1	found	sound	0
we	we	pns12	we	we	0
any	any	d	any	any	0
water	water	n1	water	water	0
all	all	d	all	all	0
that	that	cst	that	that	0
way	way	n1	way	way	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
certaine	certaine	j	certain	certain	0
ditches	ditches	n2	ditches	ditch	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
valleys	valleys	n2	valleys	valley	0
,	,	,	,	,	0
except	except	c-acp	except	except	0
two	two	crd	two	two	0
small	small	j	small	small	0
rivers	rivers	n2	rivers	river	0
.	.	.	.	.	1
And	And	cc	And	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
time	time	n1	time	time	0
wherein	wherein	c-crq	wherein	wherein	0
wee	wee	pns12	we	we	0
departed	departed	vvd	departed	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
province	province	n1	province	province	0
of	of	pp-f	of	of	0
Gasaria	Gasaria	np1	Gasaria	Gasaria	0
,	,	,	,	,	0
we	we	pns12	we	we	0
travailed	travailed	vvn	travailed	travail	0
directly	directly	av-j	directly	direct	0
Eastward	Eastward	av	Eastward	eastward	0
,	,	,	,	,	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
Sea	Sea	n1	Sea	sea	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
waste	waste	j	waste	waste	0
desert	desert	n1	desert	desert	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
desert	desert	n1	desert	desert	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
places	places	n2	places	place	0
,	,	,	,	,	0
reacheth	reacheth	vvz	reaches	reach	0
twenty	twenty	crd	twenty	twenty	0
dayes	dayes	ng2	days	day	0
journey	journey	n1	journey	journey	0
in	in	p-acp	in	in	0
breadth	breadth	n1	breadth	breadth	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
neither	neither	dx	neither	neither	0
tree	tree	n1	tree	tree	0
,	,	,	,	,	0
mountaine	mountaine	n1	mountain	mountain	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
stone	stone	n1	stone	stone	0
therein	therein	av	therein	therein	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
pasture	pasture	n1	pasture	pasture	0
.	.	.	.	.	1
Here	Here	av	Here	here	0
the	the	dt	the	the	0
Comanians	Comanians	njp2	Comanians	comanians	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
called	called	vvn	called	call	0
Capthac	Capthac	fw-la	Capthac	capthac	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
feede	feede	vvi	feed	feed	0
their	their	po32	their	their	0
cattell	cattell	n2	cattle	cattle	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
men	men	n2	men	man	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
called	called	vvn	called	call	0
Valani	Valani	np1	Valani	Valani	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
province	province	n1	province	province	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
Valania	Valania	np1	Valania	Valania	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
Isidore	Isidore	np1	Isidore	Isidore	0
calleth	calleth	vvz	calls	call	0
all	all	d	all	all	0
that	that	cst	that	that	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2S5	2S5	np1	2S5	2S5	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
land	land	n1	land	land	0
stretching	stretching	vvg	stretching	stretch	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Tanais	Tanais	np1	Tanais	Tanais	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Comania	Comania	np1	Comania	Comania	0
.	.	.	.	.	0
lake	lake	n1	lake	lake	0
of	of	pp-f	of	of	0
Maeotis	Maeotis	np1	Maeotis	Maeotis	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
along	along	a-acp	along	along	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
Danubius	Danubius	np1	Danubius	Danubius	0
,	,	,	,	,	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Alania	Alania	np1	Alania	Alania	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
land	land	n1	land	land	0
continueth	continueth	vvz	continueth	continue	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
from	from	p-acp	from	from	0
Danubius	Danubius	np1	Danubius	Danubius	0
unto	unto	p-acp	unto	unto	0
Tanais	Tanais	np1	Tanais	Tanais	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
divideth	divideth	vvz	divides	divide	0
Asia	Asia	np1	Asia	Asia	0
from	from	p-acp	from	from	0
Europe	Europe	np1	Europe	Europe	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
moneths	moneths	ng2	months	month	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
albeit	albeit	cs	albeit	albeit	0
a	a	dt	a	a	0
man	man	n1	man	man	0
should	should	vmd	should	shall	0
ride	ride	vvi	ride	ride	0
poste	poste	n1	post	post	0
as	as	c-acp	as	as	0
fast	fast	av-j	fast	fast	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
use	use	vvb	use	use	0
to	to	pc-acp	to	to	0
ride	ride	vvi	ride	ride	0
:	:	:	:	:	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
all	all	av-d	all	all	0
over	over	a-acp	over	over	0
inhabited	inhabited	vvn	inhabited	inhabit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Comanians	Comanians	njp2	Comanians	comanians	0
,	,	,	,	,	0
called	called	vvn	called	call	0
Capthac	Capthac	fw-la	Capthac	capthac	0
:	:	:	:	:	0
yea	yea	uh	yea	yea	0
and	and	cc	and	and	0
beyond	beyond	p-acp	beyond	beyond	0
Tanais	Tanais	np1	Tanais	Tanais	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Edil	Edil	np1	Edil	Edil	0
or	or	cc	or	or	0
Volga	Volga	np1	Volga	Volga	0
:	:	:	:	:	0
the	the	dt	the	the	0
space	space	n1	space	space	0
be-tweene	be-tweene	j	between	between	0
the	the	dt	the	the	0
two	two	crd	two	two	0
which	which	r-crq	which	which	0
rivers	rivers	n2	rivers	river	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
and	and	cc	and	and	0
long	long	av-j	long	long	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	0
journey	journey	n1	journey	journey	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
travailed	travailed	vvn	travailed	travail	0
in	in	p-acp	in	in	0
ten	ten	crd	ten	ten	0
dayes	dayes	n2	days	day	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
North	North	n1	North	north	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
province	province	n1	province	province	0
lieth	lieth	vvz	lies	lie	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
wood	wood	n1	wood	wood	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
places	places	n2	places	place	0
,	,	,	,	,	0
and	and	cc	and	and	0
stretcheth	stretcheth	vvz	stretcheth	stretch	0
from	from	p-acp	from	from	0
Polonia	Polonia	np1	Polonia	Polonia	0
and	and	cc	and	and	0
Hungaria	Hungaria	np1	Hungaria	Hungaria	0
,	,	,	,	,	0
even	even	av	even	even	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Tanais	Tanais	np1	Tanais	Tanais	0
:	:	:	:	:	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
bene	bene	vbn	be	be	0
wasted	wasted	vvn	wasted	waste	0
all	all	d	all	all	0
over	over	a-acp	over	over	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Tartars	Tartars	np2	Tartars	Tartar	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
daily	daily	av-j	daily	daily	0
wasted	wasted	vvn	wasted	waste	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Of	Of	pp-f	Of	of	0
our	our	po12	our	our	0
afflictions	afflictions	n2	afflictions	affliction	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
sustained	sustained	vvd	sustained	sustain	0
:	:	:	:	:	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Comanians	Comanians	njp2	Comanians	comanians	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
buriall	buriall	n1	burial	burial	0
.	.	.	.	.	1
Chap.	Chap.	np1	Chap.	Chap.	0
15.	15.	crd	15.	15.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Prussia	Prussia	np1	Prussia	Prussia	0
.	.	.	.	.	1
'	'	'	'	'	0
|	|	|	|	|	0
'	'	'	'	'	0
Hey	Hey	uh	Heigh	hey	0
preferre	preferre	vvi	prefer	prefer	0
the	the	dt	the	the	0
Saracens	Saracens	np2	Saracens	Saracen	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Russians	Russians	njp2	Russians	russian	0
,	,	,	,	,	0
A	A	av	A	a	0
because	because	c-acp	because	because	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
no	no	av-dx	no	no	0
more	more	dc	more	more	0
golde	golde	n1	gold	gold	0
nor	nor	ccx	nor	nor	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
they	they	pns32	they	they	0
drive	drive	vvb	drive	drive	0
them	them	pno32	them	they	0
and	and	cc	and	and	0
their	their	po32	their	their	0
children	children	n2	children	child	0
like	like	av-j	like	like	0
flockes	flockes	n2	flocks	flock	0
of	of	pp-f	of	of	0
sheepe	sheepe	n1	sheep	sheep	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
wildernes	wildernes	n1	wilderness	wilderness	0
,	,	,	,	,	0
constraining	constraining	vvg	constraining	constrain	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
their	their	po32	their	their	0
cattell	cattell	n2	cattle	cattle	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
Beyond	Beyond	p-acp	Beyond	beyond	0
Russia	Russia	np1	Russia	Russia	0
lieth	lieth	vvz	lies	lie	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
Saint	Saint	n1	Saint	saint	0
Maries	Maries	fw-fr	Maries	maries	0
hospitali	hospitali	fw-la	hospitali	hospitali	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
have	have	vhb	have	have	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
wholly	wholly	av-jn	wholly	whole	0
conquered	conquered	vvn	conquered	conquer	0
and	and	cc	and	and	0
subdued	subdued	vvn	subdued	subdue	0
.	.	.	.	.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
very	very	j	very	very	0
deede	deede	n1	deed	deed	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
easily	easily	av-j	easily	easy	0
winne	winne	vvi	win	win	0
