Orders	Orders	n1	Order	order	0
were	were	vbdr	were	be	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
by	by	p-acp	by	by	0
us	us	pno12	us	we	0
surprised	surprised	vvn	surprised	surprise	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
narrow	narrow	j	narrow	narrow	0
seas	seas	n2	seas	sea	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
being	being	vbg	being	be	0
pirats	pirats	n2	pirates	pirate	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
instant	instant	j-jn	instant	instant	0
certaine	certaine	j	certain	certain	0
Frenchmen	Frenchmen	np2	Frenchmen	Frenchman	0
laden	laden	vvn	laden	lade	0
,	,	,	,	,	0
one	one	crd	one	one	0
barke	barke	n1	bark	bark	0
with	with	p-acp	with	with	0
wines	wines	n2	wines	wine	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
with	with	p-acp	with	with	0
salt	salt	n1	salt	salt	0
.	.	.	.	.	1
Both	Both	av-d	Both	both	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
rescued	rescued	vvd	rescued	rescue	0
,	,	,	,	,	0
&	&	cc	&	and	0
tooke	tooke	vvd	took	take	0
the	the	dt	the	the	0
man	man	n1	man	man	0
of	of	pp-f	of	of	0
warre	warre	n1	war	war	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
her	her	po31	her	her	0
men	men	n2	men	man	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
same	same	d	same	same	0
ship	ship	n1	ship	ship	0
now	now	av	now	now	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
,	,	,	,	,	0
following	following	vvg	following	follow	0
still	still	av	still	still	0
their	their	po32	their	their	0
kind	kind	n1	kind	kind	0
so	so	av	so	so	0
oft	oft	av	oft	oft	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
being	being	vbg	being	be	0
separated	separated	vvn	separated	separate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
general	general	n1	general	general	0
)	)	)	)	)	0
they	they	pns32	they	they	0
found	found	vvd	found	find	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
robbe	robbe	vvi	rob	rob	0
and	and	cc	and	and	0
spoile	spoile	vvi	spoil	spoil	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
Gods	Gods	npg1	Gods	God	0
justice	justice	n1	justice	justice	0
did	did	vdd	did	do	0
follow	follow	vvi	follow	follow	0
the	the	dt	the	the	0
same	same	d	same	same	0
company	company	n1	company	company	0
,	,	,	,	,	0
even	even	av	even	even	0
to	to	p-acp	to	to	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
overthrow	overthrow	n1	overthrow	overthrow	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
(	(	(	(	(	0
though	though	cs	though	though	0
not	not	xx	not	not	0
consenting	consenting	vvg	consenting	consent	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
misdemeanor	misdemeanor	n1	misdemeanour	misdemeanour	0
)	)	)	)	)	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
conceale	conceale	vvi	conceal	conceal	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
maketh	maketh	vvz	makes	make	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
manifestation	manifestation	n1	manifestation	manifestation	0
and	and	cc	and	and	0
approbation	approbation	n1	approbation	approbation	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
judgements	judgements	n2	judgements	judgement	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
examples	examples	n2	examples	example	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
perswaded	perswaded	vvd	persuaded	persuade	0
that	that	d	that	that	0
God	God	n1	God	god	0
more	more	av-dc	more	more	0
sharpely	sharpely	av-j	sharply	sharp	0
tooke	tooke	vvd	took	take	0
revenge	revenge	n1	revenge	revenge	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
tolerated	tolerated	vvn	tolerated	tolerate	0
longer	longer	av-jc	longer	long	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
outrage	outrage	n1	outrage	outrage	0
in	in	p-acp	in	in	0
others	others	n2-jn	others	other	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
how	how	c-crq	how	how	0
much	much	d	much	much	0
these	these	d	these	these	0
went	went	vvd	went	go	0
under	under	p-acp	under	under	0
protection	protection	n1	protection	protection	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
cause	cause	n1	cause	cause	0
and	and	cc	and	and	0
religion	religion	n1	religion	religion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
then	then	av	then	then	0
pretended	pretended	vvn	pretended	pretend	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Misdemeanor	Misdemeanor	n1	Misdemeanour	misdemeanour	0
Therefore	Therefore	av	Therefore	therefore	0
upon	upon	p-acp	upon	upon	0
further	further	jc	further	further	0
enquiry	enquiry	n1	enquiry	enquiry	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
how	how	q-crq	how	how	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
this	this	d	this	this	0
company	company	n1	company	company	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
barke	barke	n1	bark	bark	0
returning	returning	vvg	returning	return	0
home	home	av-an	home	home	0
after	after	p-acp	after	after	0
fallow	fallow	j	fallow	fallow	0
.	.	.	.	.	0
the	the	dt	the	the	0
Ashing	Ashing	np1	Ashing	Ashing	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
fraight	fraight	vvn	fraught	fraught	0
:	:	:	:	:	0
and	and	cc	and	and	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
men	men	n2	men	man	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
were	were	vbdr	were	be	0
very	very	av	very	very	0
neere	neere	av-j	near	near	0
scanted	scanted	vvn	scanted	scant	0
of	of	pp-f	of	of	0
victuali	victuali	fw-la	victuali	victuali	0
,	,	,	,	,	0
and	and	cc	and	and	0
chiefly	chiefly	av-jn	chiefly	chief	0
of	of	pp-f	of	of	0
apparell	apparell	n1	apparel	apparel	0
,	,	,	,	,	0
doubtful	doubtful	j	doubtful	doubtful	0
withall	withall	av	withal	withal	0
where	where	c-crq	where	where	0
or	or	cc	or	or	0
when	when	c-crq	when	when	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
and	and	cc	and	and	0
meete	meete	vvi	meet	meet	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
Admiral	Admiral	n1	Admiral	admiral	0
,	,	,	,	,	0
they	they	pns32	they	they	0
besought	besought	vvd	besought	beseech	0
the	the	dt	the	the	0
captaine	captaine	n1	captain	captain	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
go	go	vvi	go	go	0
aboord	aboord	a-acp	aboard	aboard	0
this	this	d	this	this	0
Newlander	Newlander	n1	Newlander	newlander	0
,	,	,	,	,	0
only	only	av-j	only	only	0
to	to	pc-acp	to	to	0
borrow	borrow	vvi	borrow	borrow	0
what	what	r-crq	what	what	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
spared	spared	vvn	spared	spare	0
,	,	,	,	,	0
the	the	dt	the	the	0
rather	rather	av-c	rather	rather	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
same	same	d	same	same	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1583-was	1583-was	j	1583-was	1583-was	0
bound	bound	vvn	bound	bind	0
homeward	homeward	av	homeward	homeward	0
.	.	.	.	.	1
Leave	Leave	n1	Leave	leave	0
given	given	vvn	given	give	0
,	,	,	,	,	0
not	not	xx	not	not	0
without	without	p-acp	without	without	0
charge	charge	n1	charge	charge	0
to	to	pc-acp	to	to	0
deale	deale	vvi	deal	deal	0
favorably	favorably	av-j	favorably	favorable	0
,	,	,	,	,	0
they	they	pns32	they	they	0
came	came	vvd	came	come	0
aboord	aboord	a-acp	aboard	aboard	0
the	the	dt	the	the	0
fisherman	fisherman	n1	fisherman	fisherman	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
rifled	rifled	vvd	rifled	rifle	0
of	of	pp-f	of	of	0
tackle	tackle	n1	tackle	tackle	0
,	,	,	,	,	0
sailes	sailes	n2	sails	sail	0
,	,	,	,	,	0
cables	cables	n2	cables	cable	0
,	,	,	,	,	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
apparell	apparell	n1	apparel	apparel	0
:	:	:	:	:	0
not	not	xx	not	not	0
sparing	sparing	vvg	sparing	spare	0
by	by	p-acp	by	by	0
torture	torture	n1	torture	torture	0
(	(	(	(	(	0
winding	winding	vvg	winding	wind	0
cords	cords	n2	cords	cord	0
about	about	p-acp	about	about	0
their	their	po32	their	their	0
heads	heads	n2	heads	head	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
out	out	av	out	out	0
else	else	av	else	else	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
.	.	.	.	.	1
This	This	d	This	this	0
done	done	vdn	done	do	0
with	with	p-acp	with	with	0
expedition	expedition	n1	expedition	expedition	0
(	(	(	(	(	0
like	like	av-j	like	like	0
men	men	n2	men	man	0
skilfull	skilfull	j	skilful	skilful	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
mischiefe	mischiefe	n1	mischief	mischief	0
)	)	)	)	)	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
tooke	tooke	vvd	took	take	0
their	their	po32	their	their	0
cocke	cocke	n1	cock	cock	0
boate	boate	n1	boat	boat	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
aboord	aboord	a-acp	aboard	aboard	0
their	their	po32	their	their	0
own	own	d	own	own	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
overwhelmed	overwhelmed	vvn	overwhelmed	overwhelm	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
men	men	n2	men	man	0
there	there	a-acp	there	there	0
drowned	drowned	vvn	drowned	drown	0
:	:	:	:	:	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
were	were	vbdr	were	be	0
preserved	preserved	vvn	preserved	preserve	0
even	even	av	even	even	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
silly	silly	j	silly	silly	0
soules	soules	n2	souls	soul	0
whom	whom	r-crq	whom	who	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
before	before	a-acp	before	before	0
spoyled	spoyled	vvn	spoiled	spoil	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
saved	saved	vvd	saved	save	0
and	and	cc	and	and	0
delivered	delivered	vvd	delivered	deliver	0
them	them	pno32	them	they	0
aboord	aboord	a-acp	aboard	aboard	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
became	became	vvd	became	become	0
afterward	afterward	av	afterwards	afterward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
Newlander	Newlander	n1	Newlander	newlander	0
,	,	,	,	,	0
perhaps	perhaps	av	perhaps	perhaps	0
destitute	destitute	j	destitute	destitute	0
of	of	pp-f	of	of	0
sayles	sayles	n2	sails	sail	0
and	and	cc	and	and	0
furniture	furniture	n1	furniture	furniture	0
sufficient	sufficient	j	sufficient	sufficient	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
them	them	pno32	them	they	0
home	home	av-an	home	home	0
(	(	(	(	(	0
whither	whither	c-crq	whither	whither	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
not	not	xx	not	not	0
lesse	lesse	av-dc	less	less	0
to	to	pc-acp	to	to	0
runne	runne	vvi	run	run	0
then	then	av	then	then	0
700	700	crd	700	700	0
leagues	leagues	n2	leagues	league	0
)	)	)	)	)	0
God	God	n1	God	god	0
alone	alone	av-j	alone	alone	0
knoweth	knoweth	vvz	knoweth	know	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
tooke	tooke	vvd	took	take	0
vengeance	vengeance	n1	vengeance	vengeance	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
after	after	a-acp	after	after	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
that	that	cst	that	that	0
escaped	escaped	vvd	escaped	escape	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
instant	instant	n-jn	instant	instant	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
reveale	reveale	vvi	reveal	reveal	0
the	the	dt	the	the	0
fact	fact	n1	fact	fact	0
,	,	,	,	,	0
and	and	cc	and	and	0
justifie	justifie	vvi	justify	justify	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
world	world	n1	world	world	0
Gods	Gods	npg1	Gods	God	0
judgements	judgements	n2	judgements	judgement	0
inflicted	inflicted	vvn	inflicted	inflict	0
upon	upon	p-acp	upon	upon	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
shalbe	shalbe	vmb	shall	shall	0
declared	declared	vvn	declared	declare	0
in	in	p-acp	in	in	0
place	place	n1	place	place	0
convenient	convenient	j	convenient	convenient	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Thus	Thus	av	Thus	thus	0
after	after	c-acp	after	after	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
met	met	vvn	met	meet	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
,	,	,	,	,	0
we	we	pns12	we	we	0
held	held	vvd	held	hold	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
course	course	n1	course	course	0
Southward	Southward	av-j	Southward	southward	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
harbor	harbor	n1	harbour	harbour	0
called	called	vvn	called	call	0
S.	S.	np1	S.	S.	0
John	John	np1	John	John	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
5	5	crd	5	5	0
leagues	leagues	n2	leagues	league	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
former	former	j	former	former	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Francis	Francis	np1	Francis	Francis	0
:	:	:	:	:	0
where	where	c-crq	where	where	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
harbor	harbor	n1	harbour	harbour	0
,	,	,	,	,	0
English	English	jp	English	english	0
ships	ships	n2	ships	ship	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
also	also	av	also	also	0
the	the	dt	the	the	0
Frigate	Frigate	n1	Frigate	frigate	0
or	or	cc	or	or	0
Squirrill	Squirrill	n1	Squirrel	squirrel	0
lying	lying	vvg	lying	lie	0
at	at	p-acp	at	at	0
anker	anker	n1	anchor	anchor	0
,	,	,	,	,	0
Whom	Whom	ro-crq	Whom	who	0
the	the	dt	the	the	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
(	(	(	(	(	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
&	&	cc	&	and	0
alwaies	alwaies	av	always	always	0
be	be	vbi	be	be	0
mirais	mirais	fw-fr	mirais	mirais	0
Admirals	Admirals	n2	Admirals	admiral	0
by	by	p-acp	by	by	0
turnes	turnes	n2	turns	turn	0
interchangeably	interchangeably	av-j	interchangeably	interchangeable	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
fleetes	fleetes	n2	fleets	fleet	0
of	of	pp-f	of	of	0
fieetes	fieetes	n2	fieetes	fieete	0
,	,	,	,	,	0
fishing	fishing	vvg	fishing	fish	0
fishermen	fishermen	n2	fishermen	fisherman	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
same	same	d	same	same	0
harbor	harbor	n1	harbour	harbour	0
)	)	)	)	)	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
permit	permit	vvi	permit	permit	0
to	to	p-acp	to	to	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
South	South	n1	South	south	0
enter	enter	vvb	enter	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
harbor	harbor	n1	harbour	harbour	0
.	.	.	.	.	1
Glad	Glad	j	Glad	glad	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
happy	happy	j	happy	happy	0
meeting	meeting	n1	meeting	meeting	0
both	both	d	both	both	0
purtsofUew-of	purtsofUew-of	j	purtsofUew-of	purtsofuew-of	0
the	the	dt	the	the	0
Swallow	Swallow	n1	Swallow	swallow	0
and	and	cc	and	and	0
Frigate	Frigate	n1	Frigate	frigate	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
day	day	n1	day	day	0
(	(	(	(	(	0
being	being	vbg	being	be	0
Saturday	Saturday	np1	Saturday	Saturday	0
^°un	^°un	n1	°un	°un	0
an	an	dt	and	a	0
'	'	'	'	'	0
the	the	dt	the	the	0
3.	3.	crd	3.	3.	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
)	)	)	)	)	0
we	we	pns12	we	we	0
made	made	vvd	made	make	0
readie	readie	av-j	ready	ready	0
our	our	po12	our	our	0
fights	fights	n2	fights	fight	0
,	,	,	,	,	0
&	&	cc	&	and	0
prepared	prepared	vvd	prepared	prepare	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
the	the	dt	the	the	0
harbor	harbor	n1	harbour	harbour	0
,	,	,	,	,	0
any	any	d	any	any	0
resistance	resistance	n1	resistance	resistance	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrarie	contrarie	n-jn	contrary	contrary	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
being	being	vbg	being	be	0
within	within	p-acp	within	within	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
nations	nations	n2	nations	nation	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
36	36	crd	36	36	0
sailes	sailes	n2	sails	sail	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
first	first	ord	first	first	0
the	the	dt	the	the	0
general	general	n1	general	general	0
dispatched	dispatched	vvd	dispatched	dispatch	0
a	a	dt	a	a	0
boat	boat	n1	boat	boat	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
them	them	pno32	them	they	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
comming	comming	n-vvg	coming	come	0
for	for	p-acp	for	for	0
no	no	dx	no	no	0
ill	ill	j-jn	ill	ill	0
intent	intent	n1	intent	intent	0
,	,	,	,	,	0
having	having	vhg	having	have	0
Commission	Commission	n1	Commission	commission	0
from	from	p-acp	from	from	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
voiage	voiage	n1	voyage	voyage	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
And	And	cc	And	and	0
immediatly	immediatly	av-j	immediately	immediate	0
we	we	pns12	we	we	0
followed	followed	vvd	followed	follow	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
slacke	slacke	j	slack	slack	0
gale	gale	n1	gale	gale	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	j	very	very	0
entrance	entrance	n1	entrance	entrance	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
but	but	p-acp	but	but	0
narrow	narrow	j	narrow	narrow	0
,	,	,	,	,	0
not	not	xx	not	not	0
above	above	p-acp	above	above	0
2	2	crd	2	2	0
buts	buts	n2	buts	butt	0
length	length	n1	length	length	0
)	)	)	)	)	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
fell	fell	vvd	fell	fall	0
upon	upon	p-acp	upon	upon	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Good	Good	j	Good	good	0
order	order	n1	order	order	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
supply	supply	n1	supply	supply	0
in	in	p-acp	in	in	0
Newfound	Newfound	j	Newfound	newfound	0
land	land	n1	land	land	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
larboord	larboord	av	larboard	larboard	0
side	side	n1	side	side	0
by	by	p-acp	by	by	0
great	great	j	great	great	0
oversight	oversight	n1	oversight	oversight	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
the	the	dt	the	the	0
weather	weather	n1	weather	weather	0
was	was	vbds	was	be	0
faire	faire	j	fair	fair	0
,	,	,	,	,	0
the	the	dt	the	the	0
rocke	rocke	n1	rock	rock	0
much	much	av-d	much	much	0
above	above	p-acp	above	above	0
water	water	n1	water	water	0
fast	fast	av-j	fast	fast	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
shore	shore	n1	shore	shore	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
neither	neither	av-dx	neither	neither	0
went	went	vvd	went	go	0
any	any	d	any	any	0
sea	sea	n1	sea	sea	0
gate	gate	n1	gate	gate	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
such	such	d	such	such	0
readinesse	readinesse	n1	readiness	readiness	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Marchants	Marchants	n2	Merchants	merchant	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
danger	danger	n1	danger	danger	0
,	,	,	,	,	0
that	that	cst	that	that	0
without	without	p-acp	without	without	0
delay	delay	n1	delay	delay	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
brought	brought	vvn	brought	bring	0
a	a	dt	a	a	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
boates	boates	n2	boats	boat	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
towed	towed	vvd	towed	tow	0
off	off	a-acp	off	off	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
cleared	cleared	vvd	cleared	clear	0
her	her	pno31	her	she	0
of	of	pp-f	of	of	0
danger	danger	n1	danger	danger	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Having	Having	vhg	Having	have	0
taken	taken	vvn	taken	take	0
place	place	n1	place	place	0
convenient	convenient	j	convenient	convenient	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
road	road	n1	road	road	0
,	,	,	,	,	0
we	we	pns12	we	we	0
let	let	vvb	let	let	0
fall	fall	vvi	fallen	fall	0
ankers	ankers	n2	anchors	anchor	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaines	Captaines	n2	Captains	captain	0
and	and	cc	and	and	0
Masters	Masters	n2	Master's	master	0
repairing	repairing	vvg	repairing	repair	0
aboord	aboord	a-acp	aboard	aboard	0
our	our	po12	our	our	0
Admirall	Admirall	n1	Admiral	admiral	0
:	:	:	:	:	0
whither	whither	c-crq	whither	whither	0
also	also	av	also	also	0
came	came	vvd	came	come	0
immediatly	immediatly	av-j	immediately	immediate	0
the	the	dt	the	the	0
Masters	Masters	n2	Master's	master	0
and	and	cc	and	and	0
owners	owners	n2	owners	owner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fishing	fishing	n-vvg	fishing	fish	0
fleete	fleete	n1	fleet	fleet	0
of	of	pp-f	of	of	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
Generals	Generals	ng1	Generals	general	0
intent	intent	n1	intent	intent	0
and	and	cc	and	and	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
arrivall	arrivall	n1	arrival	arrival	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
all	all	d	all	all	0
satisfied	satisfied	vvn	satisfied	satisfy	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
General	General	n1	General	general	0
had	had	vhd	had	have	0
shewed	shewed	vvn	showed	show	0
his	his	po31	his	his	0
commission	commission	n1	commission	commission	0
,	,	,	,	,	0
and	and	cc	and	and	0
purpose	purpose	n1	purpose	purpose	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
possession	possession	n1	possession	possession	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
lands	lands	n2	lands	land	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crowne	crowne	n1	crown	crown	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
Christian	Christian	njp	Christian	christian	0
religion	religion	n1	religion	religion	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
Paganish	Paganish	j	Paganish	paganish	0
regions	regions	n2	regions	region	0
,	,	,	,	,	0
requiring	requiring	vvg	requiring	require	0
but	but	p-acp	but	but	0
their	their	po32	their	their	0
lawfull	lawfull	j	lawful	lawful	0
ayde	ayde	n1	aid	aid	0
for	for	p-acp	for	for	0
repayring	repayring	vvg	repairing	repair	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
fleete	fleete	n1	fleet	fleet	0
,	,	,	,	,	0
and	and	cc	and	and	0
supply	supply	n1	supply	supply	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
necessaries	necessaries	n2-j	necessaries	necessary	0
