Commission	Commission	n1	Commission	commission	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
this	this	d	this	this	0
summer	summer	n1	summer	summer	0
attaine	attaine	vvi	attain	attain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
border	border	n1	border	border	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
find	find	vvb	find	find	0
the	the	dt	the	the	0
land	land	n1	land	land	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
Ob	Ob	fw-la	Ob	ob	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stretch	stretch	vvi	stretch	stretch	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
Easterly	Easterly	np1	Easterly	Easterly	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
unto	unto	p-acp	unto	unto	0
it	it	pn31	it	it	0
navigable	navigable	j	navigable	navigable	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
then	then	av	then	then	0
proceed	proceed	vvi	proceed	proceed	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
dis	dis	fw-fr	dis	dis	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
255	255	crd	255	255	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
covery	covery	n1	covery	covery	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
said	said	vvd	said	say	0
)	)	)	)	)	0
alongst	alongst	p-acp	alongst	alongst	0
the	the	dt	the	the	0
same	same	d	same	same	0
continent	continent	n1	continent	continent	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
this	this	d	this	this	0
summer	summer	n1	summer	summer	0
,	,	,	,	,	0
having	having	vhg	having	have	0
care	care	n1	care	care	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
travel	travel	n1	travel	travel	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
out	out	av	out	out	0
some	some	d	some	some	0
convenient	convenient	j	convenient	convenient	0
harborow	harborow	n1	harbour	harbour	0
and	and	cc	and	and	0
place	place	n1	place	place	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
winter	winter	vvi	winter	winter	0
:	:	:	:	:	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
convenient	convenient	j	convenient	convenient	0
,	,	,	,	,	0
put	put	vvb	put	put	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
wintering	wintering	vvg	wintering	winter	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
happen	happen	vvb	happen	happen	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
people	people	n1	people	people	0
,	,	,	,	,	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
deale	deale	vvi	deal	deal	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
before	before	a-acp	before	before	0
advised	advised	vvn	advised	advise	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
learne	learne	vvi	learn	learn	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
prince	prince	n1	prince	prince	0
or	or	cc	or	or	0
chiefe	chiefe	j-jn	chief	chief	0
governour	governour	n1	governor	governor	0
,	,	,	,	,	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
procure	procure	vvi	procure	procure	0
to	to	pc-acp	to	to	0
deliver	deliver	vvi	deliver	deliver	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
Prince	Prince	n1	Prince	prince	0
or	or	cc	or	or	0
governour	governour	n1	governor	governor	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
before	before	a-acp	before	before	0
said	said	vvd	said	say	0
,	,	,	,	,	0
and	and	cc	and	and	0
seeke	seeke	vvb	seek	seek	0
to	to	pc-acp	to	to	0
obtaine	obtaine	vvi	obtain	obtain	0
againe	againe	av	again	again	0
his	his	po31	his	his	0
letters	letters	n2	letters	letter	0
accordingly	accordingly	av-vvg	accordingly	accord	0
.	.	.	.	.	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
so	so	av	so	so	0
happen	happen	vvi	happen	happen	0
to	to	p-acp	to	to	0
winter	winter	n1	winter	winter	0
&	&	cc	&	and	0
obtaine	obtaine	vvi	obtain	obtain	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
priviledge	priviledge	n1	privilege	privilege	0
,	,	,	,	,	0
finding	finding	vvg	finding	find	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
and	and	cc	and	and	0
people	people	n1	people	people	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
commodities	commodities	n2	commodities	commodity	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
such	such	d	such	such	0
,	,	,	,	,	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
using	using	vvg	using	use	0
trade	trade	n1	trade	trade	0
thither	thither	av	thither	thither	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
beneficial	beneficial	j	beneficial	beneficial	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
)	)	)	)	)	0
the	the	dt	the	the	0
same	same	d	same	same	0
wil	wil	vmb	will	will	0
be	be	vbi	be	be	0
some	some	d	some	some	0
good	good	j	good	good	0
liking	liking	n-vvg	liking	like	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
:	:	:	:	:	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
next	next	ord	next	next	0
summer	summer	n1	summer	summer	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
)	)	)	)	)	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
first	first	ord	first	first	0
setting	setting	vvg	setting	set	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
wintering	wintering	vvg	wintering	winter	0
harborough	harborough	n1	harbour	harbour	0
,	,	,	,	,	0
proceed	proceed	vvb	proceed	proceed	0
alongest	alongest	p-acp	alongst	alongst	0
that	that	d	that	that	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
land	land	n1	land	land	0
to	to	p-acp	to	to	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
see	see	vvb	see	see	0
likelihood	likelihood	n1	likelihood	likelihood	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
it	it	pn31	it	it	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
chiefly	chiefly	av-jn	chiefly	chief	0
desire	desire	vvb	desire	desire	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
)	)	)	)	)	0
and	and	cc	and	and	0
seeing	seeing	vvg	seeing	see	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
fully	fully	av-j	fully	full	0
victualed	victualed	vvn	victualed	victual	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
yeres	yeres	n2	years	year	0
and	and	cc	and	and	0
upwards	upwards	av-j	upward	upward	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
very	very	av	very	very	0
wel	wel	av	well	well	0
make	make	vvi	make	make	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
yeres	yeres	n2	years	year	0
and	and	cc	and	and	0
a	a	dt	a	a	0
halfe	halfe	n-jn	half	half	0
,	,	,	,	,	0
though	though	cs	though	though	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
help	help	n1	help	help	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
therefore	therefore	av	therefore	therefore	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
bolder	bolder	jc	bolder	bold	0
to	to	pc-acp	to	to	0
adventure	adventure	vvi	adventure	adventure	0
in	in	p-acp	in	in	0
proceeding	proceeding	vvg	proceeding	proceed	0
upon	upon	p-acp	upon	upon	0
your	your	po22	your	your	0
discovery	discovery	n1	discovery	discovery	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
do	do	vdb	do	do	0
,	,	,	,	,	0
we	we	pns12	we	we	0
doubt	doubt	vvb	doubt	doubt	0
not	not	xx	not	not	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
atchieve	atchieve	vvi	achieve	achieve	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
of	of	pp-f	of	of	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
&	&	cc	&	and	0
deliver	deliver	vvi	deliver	deliver	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
prince	prince	n1	prince	prince	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
bringing	bringing	vvg	bringing	bring	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
the	the	dt	the	the	0
same	same	d	same	same	0
princes	princes	n2	princes	prince	0
letters	letters	n2	letters	letter	0
answerable	answerable	j	answerable	answerable	0
:	:	:	:	:	0
and	and	cc	and	and	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1582.	1582.	crd	1582.	1582.	0
returne	returne	n1	return	return	0
home	home	av-an	home	home	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
newes	newes	n1	news	news	0
,	,	,	,	,	0
and	and	cc	and	and	0
glad	glad	j	glad	glad	0
tidings	tidings	n2	tidings	tiding	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
adventurers	adventurers	n2	adventurers	adventurer	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
Countrey	Countrey	n1	Country	country	0
and	and	cc	and	and	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
God	God	np1	God	God	0
graunt	graunt	vvb	grant	grant	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
do	do	vdi	do	do	0
,	,	,	,	,	0
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
happen	happen	vvb	happen	happen	0
that	that	d	that	that	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Ob	Ob	fw-la	Ob	ob	0
,	,	,	,	,	0
extende	extende	vvb	extend	extend	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
Northwards	Northwards	av	Northwards	northwards	0
to	to	p-acp	to	to	0
80.	80.	crd	80.	80.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
or	or	cc	or	or	0
neerer	neerer	av-jc	nearer	near	0
the	the	dt	the	the	0
poole	poole	n1	pool	pool	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
leade	leade	vvi	lead	lead	0
you	you	pn22	you	you	0
256	256	crd	256	256	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
into	into	p-acp	into	into	0
that	that	cst	that	that	0
extremitie	extremitie	n1	extremity	extremity	0
,	,	,	,	,	0
that	that	cst	that	that	0
small	small	j	small	small	0
or	or	cc	or	or	0
no	no	dx	no	no	0
hope	hope	n1	hope	hope	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
looked	looked	vvn	looked	look	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
saile	saile	vvi	sail	sail	0
that	that	d	that	that	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Cathay	Cathay	np1	Cathay	Cathay	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
notwithstanding	notwithstanding	p-acp	notwithstanding	notwithstanding	0
followe	followe	vvi	follow	follow	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
land	land	n1	land	land	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
discover	discover	vvi	discover	discover	0
this	this	d	this	this	0
Summer	Summer	n1	Summer	summer	0
,	,	,	,	,	0
having	having	vhg	having	have	0
care	care	n1	care	care	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
a	a	dt	a	a	0
convenient	convenient	j	convenient	convenient	0
place	place	n1	place	place	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
Winter	Winter	vvi	Winter	winter	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
discover	discover	vvi	discover	discover	0
the	the	dt	the	the	0
same	same	d	same	same	0
lande	lande	n1	land	land	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
this	this	d	this	this	0
Summer	Summer	n1	Summer	summer	0
to	to	pc-acp	to	to	0
extend	extend	vvi	extend	extend	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
to	to	p-acp	to	to	0
80.	80.	crd	80.	80.	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
and	and	cc	and	and	0
upwards	upwards	av-j	upward	upward	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
85.	85.	crd	85.	85.	0
degrees	degrees	n2	degrees	degree	0
)	)	)	)	)	0
we	we	pns12	we	we	0
wish	wish	vvb	wish	wish	0
then	then	av	then	then	0
that	that	cst	that	that	0
the	the	dt	the	the	0
same	same	d	same	same	0
your	your	po22	your	your	0
wintering	wintering	vvg	wintering	winter	0
place	place	n1	place	place	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Ob	Ob	fw-la	Ob	ob	0
,	,	,	,	,	0
or	or	cc	or	or	0
as	as	c-acp	as	as	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
same	same	d	same	same	0
river	river	n1	river	river	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
,	,	,	,	,	0
and	and	cc	and	and	0
finding	finding	vvg	finding	find	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
wintering	wintering	vvg	wintering	winter	0
place	place	n1	place	place	0
,	,	,	,	,	0
people	people	n1	people	people	0
,	,	,	,	,	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
Samoeds	Samoeds	n2	Samoeds	samoed	0
,	,	,	,	,	0
Yowgorians	Yowgorians	np1	Yowgorians	Yowgorians	0
,	,	,	,	,	0
or	or	cc	or	or	0
Molgomzes	Molgomzes	n2	Molgomzes	molgomze	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
gently	gently	av-j	gently	gentle	0
entreat	entreat	vvb	entreat	entreat	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
as	as	p-acp	as	as	0
aforesaide	aforesaide	j	aforesaid	aforesaid	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
can	can	vmb	can	can	0
learne	learne	vvi	learn	learn	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
prince	prince	n1	prince	prince	0
or	or	cc	or	or	0
chiefe	chiefe	j-jn	chief	chief	0
governour	governour	n1	governor	governor	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
deliver	deliver	vvi	deliver	deliver	0
him	him	pno31	him	he	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
and	and	cc	and	and	0
pro	pro	fw-la	pro	pro	0
-	-	-	-	-	0
2%	2%	n1	2%	2%	0
Queenes	Queenes	ng1	Queens	queen	0
cure	cure	n1	cure	cure	0
thereof	thereof	av	thereof	thereof	0
an	an	dt	and	a	0
answere	answere	n1	answer	answer	0
accordingly	accordingly	av-vvg	accordingly	accord	0
:	:	:	:	:	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
procure	procure	vvi	procure	procure	0
Otters	Otters	n2	Otters	otter	0
.	.	.	.	.	0
to	to	p-acp	to	to	0
barter	barter	n1	barter	barter	0
&	&	cc	&	and	0
exchange	exchange	vvi	exchange	exchange	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
merchandise	merchandise	n1	merchandise	merchandise	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
cary	cary	vvi	carry	carry	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
such	such	d	such	such	0
commodities	commodities	n2	commodities	commodity	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
If	If	cs	If	if	0
you	you	pn22	you	you	0
so	so	av	so	so	0
happen	happen	vvi	happen	happen	0
to	to	p-acp	to	to	0
winter	winter	n1	winter	winter	0
,	,	,	,	,	0
we	we	pns12	we	we	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
next	next	ord	next	next	0
Summer	Summer	n1	Summer	summer	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Ob	Ob	fw-la	Ob	ob	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
conveniently	conveniently	av-j	conveniently	convenient	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
:	:	:	:	:	0
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
the	the	dt	the	the	0
same	same	d	same	same	0
river	river	n1	river	river	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wide	wide	j	wide	wide	0
or	or	cc	or	or	0
broad	broad	j	broad	broad	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
also	also	av	also	also	0
navigable	navigable	j	navigable	navigable	0
and	and	cc	and	and	0
pleasant	pleasant	j	pleasant	pleasant	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
travell	travell	vvi	travel	travel	0
farre	farre	av-j	far	far	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
happely	happely	av-j	happily	happy	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
Siberia	Siberia	np1	Siberia	Siberia	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
some	some	d	some	some	0
The	The	dt	The	the	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
towne	towne	n1	town	town	0
or	or	cc	or	or	0
place	place	n1	place	place	0
habited	habited	vvn	habited	habit	0
upon	upon	p-acp	upon	upon	0
or	or	cc	or	or	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
border	border	n1	border	border	0
^iberia-of	^iberia-of	j	iberia-of	iberia-of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereby	thereby	av	thereby	thereby	0
have	have	vhi	have	have	0
liking	liking	vvg	liking	like	0
to	to	p-acp	to	to	0
winter	winter	n1	winter	winter	0
out	out	av	out	out	0
the	the	dt	the	the	0
second	second	ord	second	second	0
winter	winter	n1	winter	winter	0
:	:	:	:	:	0
use	use	vvb	use	use	0
you	you	pn22	you	you	0
therein	therein	av	therein	therein	0
your	your	po22	your	your	0
discretions	discretions	n2	discretions	discretion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
river	river	n1	river	river	0
Ob	Ob	fw-la	Ob	ob	0
to	to	p-acp	to	to	0
be	be	vbi	be	be	0
sholde	sholde	vmd	should	shall	0
,	,	,	,	,	0
or	or	cc	or	or	0
not	not	xx	not	not	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
conveniently	conveniently	av-j	conveniently	convenient	0
travell	travell	vvi	travel	travel	0
in	in	p-acp	in	in	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
barkes	barkes	n2	barks	bark	0
,	,	,	,	,	0
do	do	vdb	do	do	0
you	you	pn22	you	you	0
then	then	av	then	then	0
the	the	dt	the	the	0
next	next	ord	next	next	0
summer	summer	n1	summer	summer	0
returne	returne	vvi	return	return	0
backe	backe	av	back	back	0
through	through	p-acp	through	through	0
Boroughs	Boroughs	n2	Boroughs	borough	0
streights	streights	n2	straights	strait	0
:	:	:	:	:	0
And	And	cc	And	and	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
adjoyning	adjoyning	vvg	adjoining	adjoin	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
streights	streights	n2	straights	strait	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
alongst	alongst	p-acp	alongst	alongst	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
coast	coast	n1	coast	coast	0
Westwards	Westwards	av-j	Westwards	westwards	0
,	,	,	,	,	0
keeping	keeping	vvg	keeping	keep	0
it	it	pn31	it	it	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
starbord	starbord	n1	starboard	starboard	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
alwayes	alwayes	av	always	always	0
in	in	p-acp	in	in	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
if	if	cs	if	if	0
conveniently	conveniently	av-j	conveniently	convenient	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
,	,	,	,	,	0
until	until	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Willoughbies	Willoughbies	npg1	Willoughbies	willoughbies	0
land	land	n1	land	land	0
,	,	,	,	,	0
if	if	cs	if	if	0
outwards	outwards	av-j	outward	outward	0
bound	bound	vvn	bound	bind	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
tVilloughbies	tVilloughbies	n2	tVilloughbies	tvilloughby	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
and	and	cc	and	and	0
trie	trie	vvi	try	try	0
whether	whether	cs	whither	whether	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Willough	Willough	np1	Willough	Willough	0
-	-	-	-	-	0
land	land	n1	land	land	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
